Day,Temperature,Humidity,Windspeed,Rentals,Weekday,Registered,Casual
1,0.344167,0.805833,0.160446,985,6,654,331
2,0.363478,0.696087,0.248539,801,0,670,131
3,0.196364,0.437273,0.248309,1349,1,1229,120
4,0.2,0.590435,0.160296,1562,2,1454,108
5,0.226957,0.436957,0.1869,1600,3,1518,82
6,0.204348,0.518261,0.0895652,1606,4,1518,88
7,0.196522,0.498696,0.168726,1510,5,1362,148
8,0.165,0.535833,0.266804,959,6,891,68
9,0.138333,0.434167,0.36195,822,0,768,54
10,0.150833,0.482917,0.223267,1321,1,1280,41
11,0.169091,0.686364,0.122132,1263,2,1220,43
12,0.172727,0.599545,0.304627,1162,3,1137,25
13,0.165,0.470417,0.301,1406,4,1368,38
14,0.16087,0.537826,0.126548,1421,5,1367,54
15,0.233333,0.49875,0.157963,1248,6,1026,222
16,0.231667,0.48375,0.188433,1204,0,953,251
17,0.175833,0.5375,0.194017,1000,1,883,117
18,0.216667,0.861667,0.146775,683,2,674,9
19,0.292174,0.741739,0.208317,1650,3,1572,78
20,0.261667,0.538333,0.195904,1927,4,1844,83
21,0.1775,0.457083,0.353242,1543,5,1468,75
22,0.0591304,0.4,0.17197,981,6,888,93
23,0.0965217,0.436522,0.2466,986,0,836,150
24,0.0973913,0.491739,0.15833,1416,1,1330,86
25,0.223478,0.616957,0.129796,1985,2,1799,186
26,0.2175,0.8625,0.29385,506,3,472,34
27,0.195,0.6875,0.113837,431,4,416,15
28,0.203478,0.793043,0.1233,1167,5,1129,38
29,0.196522,0.651739,0.145365,1098,6,975,123
30,0.216522,0.722174,0.0739826,1096,0,956,140
31,0.180833,0.60375,0.187192,1501,1,1459,42
32,0.192174,0.829565,0.053213,1360,2,1313,47
33,0.26,0.775417,0.264308,1526,3,1454,72
34,0.186957,0.437826,0.277752,1550,4,1489,61
35,0.211304,0.585217,0.127839,1708,5,1620,88
36,0.233333,0.929167,0.161079,1005,6,905,100
37,0.285833,0.568333,0.1418,1623,0,1269,354
38,0.271667,0.738333,0.0454083,1712,1,1592,120
39,0.220833,0.537917,0.36195,1530,2,1466,64
40,0.134783,0.494783,0.188839,1605,3,1552,53
41,0.144348,0.437391,0.221935,1538,4,1491,47
42,0.189091,0.506364,0.10855,1746,5,1597,149
43,0.2225,0.544167,0.203367,1472,6,1184,288
44,0.316522,0.457391,0.260883,1589,0,1192,397
45,0.415,0.375833,0.417908,1913,1,1705,208
46,0.266087,0.314348,0.291374,1815,2,1675,140
47,0.318261,0.423478,0.251791,2115,3,1897,218
48,0.435833,0.505,0.230104,2475,4,2216,259
49,0.521667,0.516667,0.264925,2927,5,2348,579
50,0.399167,0.187917,0.507463,1635,6,1103,532
51,0.285217,0.407826,0.223235,1812,0,1173,639
52,0.303333,0.605,0.307846,1107,1,912,195
53,0.182222,0.577778,0.195683,1450,2,1376,74
54,0.221739,0.423043,0.094113,1917,3,1778,139
55,0.295652,0.697391,0.250496,1807,4,1707,100
56,0.364348,0.712174,0.346539,1461,5,1341,120
57,0.2825,0.537917,0.186571,1969,6,1545,424
58,0.343478,0.68,0.125248,2402,0,1708,694
59,0.407273,0.876364,0.289686,1446,1,1365,81
60,0.266667,0.535,0.216425,1851,2,1714,137
61,0.335,0.449583,0.307833,2134,3,1903,231
62,0.198333,0.318333,0.225754,1685,4,1562,123
63,0.261667,0.610417,0.203346,1944,5,1730,214
64,0.384167,0.789167,0.251871,2077,6,1437,640
65,0.376522,0.948261,0.343287,605,0,491,114
66,0.261739,0.551304,0.341352,1872,1,1628,244
67,0.2925,0.420833,0.12065,2133,2,1817,316
68,0.295833,0.775417,0.22015,1891,3,1700,191
69,0.389091,0,0.261877,623,4,577,46
70,0.316522,0.649565,0.23297,1977,5,1730,247
71,0.329167,0.594583,0.220775,2132,6,1408,724
72,0.384348,0.527391,0.270604,2417,0,1435,982
73,0.325217,0.496957,0.136926,2046,1,1687,359
74,0.317391,0.655652,0.184309,2056,2,1767,289
75,0.365217,0.776522,0.203117,2192,3,1871,321
76,0.415,0.602917,0.209579,2744,4,2320,424
77,0.54,0.525217,0.231017,3239,5,2355,884
78,0.4725,0.379167,0.368167,3117,6,1693,1424
79,0.3325,0.47375,0.207721,2471,0,1424,1047
80,0.430435,0.737391,0.288783,2077,1,1676,401
81,0.441667,0.624583,0.22575,2703,2,2243,460
82,0.346957,0.839565,0.234261,2121,3,1918,203
83,0.285,0.805833,0.243787,1865,4,1699,166
84,0.264167,0.495,0.230725,2210,5,1910,300
85,0.265833,0.394167,0.209571,2496,6,1515,981
86,0.253043,0.493913,0.1843,1693,0,1221,472
87,0.264348,0.302174,0.212204,2028,1,1806,222
88,0.3025,0.314167,0.226996,2425,2,2108,317
89,0.3,0.646667,0.172888,1536,3,1368,168
90,0.268333,0.918333,0.217646,1685,4,1506,179
91,0.3,0.68625,0.258708,2227,5,1920,307
92,0.315,0.65375,0.197146,2252,6,1354,898
93,0.378333,0.48,0.182213,3249,0,1598,1651
94,0.573333,0.42625,0.385571,3115,1,2381,734
95,0.414167,0.642083,0.388067,1795,2,1628,167
96,0.390833,0.470833,0.263063,2808,3,2395,413
97,0.4375,0.602917,0.162312,3141,4,2570,571
98,0.335833,0.83625,0.226992,1471,5,1299,172
99,0.3425,0.8775,0.133083,2455,6,1576,879
100,0.426667,0.8575,0.146767,2895,0,1707,1188
101,0.595652,0.716956,0.324474,3348,1,2493,855
102,0.5025,0.739167,0.274879,2034,2,1777,257
103,0.4125,0.819167,0.250617,2162,3,1953,209
104,0.4675,0.540417,0.1107,3267,4,2738,529
105,0.446667,0.67125,0.226375,3126,5,2484,642
106,0.430833,0.888333,0.340808,795,6,674,121
107,0.456667,0.479583,0.303496,3744,0,2186,1558
108,0.5125,0.5425,0.163567,3429,1,2760,669
109,0.505833,0.665833,0.157971,3204,2,2795,409
110,0.595,0.614167,0.241925,3944,3,3331,613
111,0.459167,0.407083,0.325258,4189,4,3444,745
112,0.336667,0.729583,0.219521,1683,5,1506,177
113,0.46,0.887917,0.230725,4036,6,2574,1462
114,0.581667,0.810833,0.192175,4191,0,2481,1710
115,0.606667,0.776667,0.185333,4073,1,3300,773
116,0.631667,0.729167,0.3265,4400,2,3722,678
117,0.62,0.835417,0.3122,3872,3,3325,547
118,0.6175,0.700833,0.320908,4058,4,3489,569
119,0.51,0.457083,0.240063,4595,5,3717,878
120,0.4725,0.503333,0.235075,5312,6,3347,1965
121,0.451667,0.762083,0.106354,3351,0,2213,1138
122,0.549167,0.73,0.183454,4401,1,3554,847
123,0.616667,0.697083,0.342667,4451,2,3848,603
124,0.414167,0.737083,0.328996,2633,3,2378,255
125,0.459167,0.444167,0.295392,4433,4,3819,614
126,0.479167,0.59,0.228246,4608,5,3714,894
127,0.52,0.54125,0.16045,4714,6,3102,1612
128,0.528333,0.631667,0.0746375,4333,0,2932,1401
129,0.5325,0.58875,0.176,4362,1,3698,664
130,0.5325,0.489167,0.115671,4803,2,4109,694
131,0.5425,0.632917,0.120642,4182,3,3632,550
132,0.535,0.7475,0.189667,4864,4,4169,695
133,0.5125,0.863333,0.179725,4105,5,3413,692
134,0.520833,0.9225,0.13495,3409,6,2507,902
135,0.5625,0.867083,0.152979,4553,0,2971,1582
136,0.5775,0.787917,0.126871,3958,1,3185,773
137,0.561667,0.837917,0.277354,4123,2,3445,678
138,0.55,0.87,0.201492,3855,3,3319,536
139,0.530833,0.829583,0.108213,4575,4,3840,735
140,0.536667,0.719583,0.125013,4917,5,4008,909
141,0.6025,0.626667,0.12065,5805,6,3547,2258
142,0.604167,0.749583,0.148008,4660,0,3084,1576
143,0.631667,0.81,0.233842,4274,1,3438,836
144,0.66,0.740833,0.207092,4492,2,3833,659
145,0.660833,0.69625,0.154233,4978,3,4238,740
146,0.708333,0.6775,0.199642,4677,4,3919,758
147,0.681667,0.65375,0.240679,4679,5,3808,871
148,0.655833,0.729583,0.230092,4758,6,2757,2001
149,0.6675,0.81875,0.213938,4788,0,2433,2355
150,0.733333,0.685,0.131225,4098,1,2549,1549
151,0.775,0.636667,0.111329,3982,2,3309,673
152,0.764167,0.677083,0.207092,3974,3,3461,513
153,0.715,0.305,0.292287,4968,4,4232,736
154,0.62,0.354167,0.253121,5312,5,4414,898
155,0.635,0.45625,0.123142,5342,6,3473,1869
156,0.648333,0.6525,0.138692,4906,0,3221,1685
157,0.678333,0.6,0.121896,4548,1,3875,673
158,0.7075,0.597917,0.187808,4833,2,4070,763
159,0.775833,0.622083,0.136817,4401,3,3725,676
160,0.808333,0.568333,0.149883,3915,4,3352,563
161,0.755,0.605,0.140554,4586,5,3771,815
162,0.725,0.654583,0.15485,4966,6,3237,1729
163,0.6925,0.747917,0.163567,4460,0,2993,1467
164,0.635,0.494583,0.30535,5020,1,4157,863
165,0.604167,0.507083,0.269283,4891,2,4164,727
166,0.626667,0.471667,0.167912,5180,3,4411,769
167,0.628333,0.688333,0.206471,3767,4,3222,545
168,0.649167,0.735833,0.143029,4844,5,3981,863
169,0.696667,0.670417,0.119408,5119,6,3312,1807
170,0.699167,0.666667,0.102,4744,0,3105,1639
171,0.635,0.74625,0.155475,4010,1,3311,699
172,0.680833,0.770417,0.171025,4835,2,4061,774
173,0.733333,0.7075,0.172262,4507,3,3846,661
174,0.728333,0.703333,0.238804,4790,4,4044,746
175,0.724167,0.573333,0.222025,4991,5,4022,969
176,0.695,0.483333,0.209571,5202,6,3420,1782
177,0.68,0.513333,0.0945333,5305,0,3385,1920
178,0.6825,0.658333,0.107588,4708,1,3854,854
179,0.744167,0.634167,0.144283,4648,2,3916,732
180,0.728333,0.497917,0.261821,5225,3,4377,848
181,0.696667,0.434167,0.185312,5515,4,4488,1027
182,0.7225,0.39625,0.102608,5362,5,4116,1246
183,0.738333,0.444583,0.115062,5119,6,2915,2204
184,0.716667,0.6825,0.228858,4649,0,2367,2282
185,0.726667,0.637917,0.0814792,6043,1,2978,3065
186,0.746667,0.590417,0.126258,4665,2,3634,1031
187,0.72,0.743333,0.149883,4629,3,3845,784
188,0.75,0.65125,0.1592,4592,4,3838,754
189,0.709167,0.757917,0.225129,4040,5,3348,692
190,0.733333,0.609167,0.167912,5336,6,3348,1988
191,0.7475,0.578333,0.183471,4881,0,3138,1743
192,0.7625,0.635833,0.282337,4086,1,3363,723
193,0.794167,0.559167,0.200254,4258,2,3596,662
194,0.746667,0.631667,0.146133,4342,3,3594,748
195,0.680833,0.47625,0.240667,5084,4,4196,888
196,0.663333,0.59125,0.182833,5538,5,4220,1318
197,0.686667,0.585,0.208342,5923,6,3505,2418
198,0.719167,0.604167,0.245033,5302,0,3296,2006
199,0.746667,0.65125,0.215804,4458,1,3617,841
200,0.776667,0.650417,0.1306,4541,2,3789,752
201,0.768333,0.707083,0.113817,4332,3,3688,644
202,0.815,0.69125,0.222021,3784,4,3152,632
203,0.848333,0.580417,0.1331,3387,5,2825,562
204,0.849167,0.5,0.131221,3285,6,2298,987
205,0.83,0.550833,0.169171,3606,0,2556,1050
206,0.743333,0.757083,0.0908083,3840,1,3272,568
207,0.771667,0.540833,0.200258,4590,2,3840,750
208,0.775,0.402917,0.183463,4656,3,3901,755
209,0.779167,0.583333,0.178479,4390,4,3784,606
210,0.838333,0.5425,0.174138,3846,5,3176,670
211,0.804167,0.465833,0.168537,4475,6,2916,1559
212,0.805833,0.480833,0.164813,4302,0,2778,1524
213,0.771667,0.550833,0.156717,4266,1,3537,729
214,0.783333,0.49125,0.20585,4845,2,4044,801
215,0.731667,0.6575,0.135583,3574,3,3107,467
216,0.71,0.7575,0.19715,4576,4,3777,799
217,0.710833,0.630833,0.184696,4866,5,3843,1023
218,0.716667,0.755,0.22825,4294,6,2773,1521
219,0.7425,0.752917,0.201487,3785,0,2487,1298
220,0.765,0.592083,0.192175,4326,1,3480,846
221,0.775,0.570417,0.151121,4602,2,3695,907
222,0.766667,0.424167,0.200258,4780,3,3896,884
223,0.7175,0.42375,0.164796,4792,4,3980,812
224,0.708333,0.415,0.125621,4905,5,3854,1051
225,0.685833,0.729583,0.211454,4150,6,2646,1504
226,0.676667,0.8175,0.222633,3820,0,2482,1338
227,0.665833,0.712083,0.208954,4338,1,3563,775
228,0.700833,0.578333,0.236329,4725,2,4004,721
229,0.723333,0.575417,0.143667,4694,3,4026,668
230,0.711667,0.654583,0.233208,3805,4,3166,639
231,0.685,0.722917,0.139308,4153,5,3356,797
232,0.6975,0.674167,0.104467,5191,6,3277,1914
233,0.710833,0.77,0.248754,3873,0,2624,1249
234,0.691667,0.47,0.27675,4758,1,3925,833
235,0.640833,0.455417,0.146763,5895,2,4614,1281
236,0.673333,0.605,0.253108,5130,3,4181,949
237,0.684167,0.771667,0.210833,3542,4,3107,435
238,0.7,0.76125,0.0839625,4661,5,3893,768
239,0.68,0.85,0.375617,1115,6,889,226
240,0.707059,0.561765,0.304659,4334,0,2919,1415
241,0.636667,0.554583,0.159825,4634,1,3905,729
242,0.639167,0.548333,0.125008,5204,2,4429,775
243,0.656667,0.597917,0.0833333,5058,3,4370,688
244,0.655,0.639167,0.141796,5115,4,4332,783
245,0.643333,0.727083,0.139929,4727,5,3852,875
246,0.669167,0.716667,0.185325,4484,6,2549,1935
247,0.709167,0.742083,0.206467,4940,0,2419,2521
248,0.673333,0.790417,0.212696,3351,1,2115,1236
249,0.54,0.886957,0.343943,2710,2,2506,204
250,0.599167,0.917083,0.0970208,1996,3,1878,118
251,0.633913,0.939565,0.192748,1842,4,1689,153
252,0.65,0.897917,0.124379,3544,5,3127,417
253,0.66,0.75375,0.153608,5345,6,3595,1750
254,0.653333,0.71375,0.115054,5046,0,3413,1633
255,0.644348,0.692174,0.088913,4713,1,4023,690
256,0.650833,0.7125,0.141804,4763,2,4062,701
257,0.673333,0.697083,0.1673,4785,3,4138,647
